NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB10	1735	0.6547466516494751	-0.06915431	Yes	
row_1	PSME1	2103	0.4896070659160614	-0.06544576	Yes	
row_2	PSME2	2641	0.31582915782928467	-0.07079181	Yes	
row_3	PSMB8	2710	0.2967507243156433	-0.051157836	Yes	
row_4	PSMA4	2861	0.2582350969314575	-0.03589137	Yes	
row_5	PSMC6	3545	0.1501852422952652	-0.049013715	Yes	
row_6	PSMA3	4509	0.0647989809513092	-0.077049516	Yes	
row_7	PSMC5	4577	0.060561198741197586	-0.057362273	Yes	
row_8	PSMB1	4723	0.051516465842723846	-0.041829497	Yes	
row_9	PSMD6	5065	0.0346670001745224	-0.03673613	Yes	
row_10	PSMA5	5979	0.010271997191011906	-0.062108815	Yes	
row_11	PSMB6	6267	0.006291460711508989	-0.054139283	Yes	
row_12	PSME4	6748	0.001962623093277216	-0.056449383	Yes	
row_13	PSMA1	7476	-1.5296647688956E-5	-0.07191527	Yes	
row_14	POMP	7791	-5.581630975939333E-4	-0.06538382	Yes	
row_15	PSMF1	7853	-7.516302284784615E-4	-0.045377012	Yes	
row_16	PSME3	8080	-0.0019449646351858974	-0.034158483	Yes	
row_17	PSMC2	8697	-0.008382041938602924	-0.043712255	Yes	
row_18	PSMA6	9282	-0.018564166501164436	-0.051561635	Yes	
row_19	PSMC1	9305	-0.01927063800394535	-0.02947759	Yes	
row_20	PSMD14	9357	-0.02039285935461521	-0.008938155	Yes	
row_21	PSMB11	9367	-0.02069794572889805	0.013838298	Yes	
row_22	PSMB3	10180	-0.046349700540304184	-0.0061548892	Yes	
row_23	PSMD1	10575	-0.06596925109624863	-0.003884428	Yes	
row_24	PSMB4	10606	-0.06763862818479538	0.017773516	Yes	
row_25	PSMD13	10668	-0.07162075489759445	0.03778033	Yes	
row_26	PSMD7	10783	-0.07700347900390625	0.05496424	Yes	
row_27	PSMA2	10941	-0.087793730199337	0.069857866	Yes	
row_28	PSMD12	11669	-0.14407694339752197	0.05439198	Yes	
row_29	PSMC4	11748	-0.15099062025547028	0.07349333	Yes	
row_30	PSMB2	11780	-0.1541760265827179	0.09509801	Yes	
row_31	PSMB5	11820	-0.15980149805545807	0.1162766	Yes	
row_32	PSMC3	12005	-0.18153591454029083	0.12973215	Yes	
row_33	PSMD4	12073	-0.19079121947288513	0.14941938	Yes	
row_34	PSMA8	12374	-0.2300383299589157	0.1566965	Yes	
row_35	PSMA7	12620	-0.27037087082862854	0.16690305	Yes	
row_36	PSMD3	12673	-0.28198641538619995	0.18738922	Yes	
row_37	PSMB9	12722	-0.2923485338687897	0.20808844	Yes	
row_38	PSMD8	12932	-0.33132708072662354	0.22021243	Yes	
row_39	PSMB7	14413	-0.8273033499717712	0.16464002	No	
row_40	PSMD11	15728	-1.8766248226165771	0.11790915	No	
row_41	PSMD2	16155	-2.4840035438537598	0.11847522	No	
row_42	IFNG	16707	-3.586357831954956	0.1123835	No	
