NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT8	1288	0.9724419713020325	-0.049023263	Yes	
row_1	CNOT6	2134	0.4752305746078491	-0.07444126	Yes	
row_2	CNOT2	2685	0.3029986321926117	-0.08414018	Yes	
row_3	DIS3	2898	0.2524581253528595	-0.07582876	Yes	
row_4	CNOT7	2922	0.2486167997121811	-0.057446472	Yes	
row_5	CNOT4	3277	0.19027957320213318	-0.056701526	Yes	
row_6	EXOSC1	3556	0.14856374263763428	-0.051906917	Yes	
row_7	ENO2	3802	0.12060417234897614	-0.045353904	Yes	
row_8	HSPA9	3956	0.10669459402561188	-0.033898667	Yes	
row_9	DCP2	4332	0.07630431652069092	-0.034272708	Yes	
row_10	CNOT1	4541	0.06280966848134995	-0.025748147	Yes	
row_11	XRN1	4655	0.05584112927317619	-0.012161511	Yes	
row_12	PAPOLA	4794	0.048098769038915634	9.300015E-5	Yes	
row_13	CNOT6L	4872	0.04322891682386398	0.015597898	Yes	
row_14	MPHOSPH6	4920	0.041181840002536774	0.032701347	Yes	
row_15	EXOSC7	5205	0.02949557825922966	0.037176244	Yes	
row_16	DCP1B	5394	0.023639671504497528	0.046766505	Yes	
row_17	PARN	5423	0.022899340838193893	0.06488237	Yes	
row_18	DDX6	6375	0.005276823882013559	0.033816155	Yes	
row_19	CNOT3	6548	0.0035596396774053574	0.044258974	Yes	
row_20	LSM7	6729	0.002093331655487418	0.054275516	Yes	
row_21	PAPOLG	7123	2.9812444699928164E-4	0.052942347	Yes	
row_22	DCPS	7133	2.7822560514323413E-4	0.07207063	Yes	
row_23	XRN2	7644	-2.048756869044155E-4	0.06450311	Yes	
row_24	LSM8	7823	-6.367189344018698E-4	0.074626215	Yes	
row_25	EXOSC5	8230	-0.003040617797523737	0.07260034	Yes	
row_26	ENO1	8363	-0.0042460025288164616	0.08517457	Yes	
row_27	DCP1A	8699	-0.008425078354775906	0.08693193	Yes	
row_28	LSM6	9230	-0.0175459086894989	0.07829871	Yes	
row_29	LSM1	9273	-0.01837373897433281	0.095668584	Yes	
row_30	EXOSC6	9376	-0.02093910239636898	0.109841354	Yes	
row_31	LSM4	9393	-0.02145576663315296	0.12859663	Yes	
row_32	HSPD1	9464	-0.02324039489030838	0.14447454	Yes	
row_33	C1D	9890	-0.03525284305214882	0.14143623	Yes	
row_34	EDC4	10055	-0.041176121681928635	0.15230533	Yes	
row_35	LSM5	10099	-0.042850978672504425	0.16962193	Yes	
row_36	PNPT1	10116	-0.04403282329440117	0.18837722	Yes	
row_37	PAPOLB	10304	-0.05163215473294258	0.19802076	Yes	
row_38	EXOSC8	10628	-0.06900964677333832	0.20041753	Yes	
row_39	EXOSC4	10730	-0.07420653849840164	0.2146436	Yes	
row_40	LSM2	10755	-0.07548826932907104	0.23297259	Yes	
row_41	PATL1	10773	-0.07652252167463303	0.2516746	Yes	
row_42	EXOSC9	11450	-0.12370113283395767	0.23526177	No	
row_43	EXOSC10	12177	-0.20219238102436066	0.21618469	No	
row_44	EDC3	12600	-0.26712557673454285	0.21330625	No	
row_45	ZCCHC7	13244	-0.401741623878479	0.19865182	No	
row_46	LSM3	13572	-0.4848732352256775	0.20083547	No	
row_47	CNOT10	13595	-0.49298039078712463	0.21927105	No	
row_48	EXOSC3	15824	-1.9992064237594604	0.12015986	No	
row_49	ENO3	16182	-2.5301358699798584	0.12074495	No	
row_50	EXOSC2	16495	-3.1232354640960693	0.123727866	No	
