NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD40	1345	0.9249582886695862	-0.053161293	No	
row_1	SSB	4486	0.06633181124925613	-0.2019845	No	
row_2	TRIM21	5713	0.015486842952668667	-0.24880385	No	
row_3	FCGR3B	6036	0.009456374682486057	-0.24744585	No	
row_4	ELANE	7236	8.849149162415415E-5	-0.2928263	No	
row_5	C3	7826	-6.477939314208925E-4	-0.30569768	No	
row_6	CTSG	7850	-7.418874301947653E-4	-0.2884049	No	
row_7	C8A	7941	-0.0011121411807835102	-0.2746828	No	
row_8	SNRPD3	8952	-0.012167112901806831	-0.30999076	No	
row_9	C9	9118	-0.015195437707006931	-0.30026567	No	
row_10	C8G	9222	-0.017347509041428566	-0.2872364	No	
row_11	C8B	10386	-0.05548471957445145	-0.33069825	No	
row_12	SNRPD1	10388	-0.05554383993148804	-0.31223303	No	
row_13	SNRPB	12109	-0.19408577680587769	-0.3853794	Yes	
row_14	C2	12268	-0.2152557671070099	-0.37528127	Yes	
row_15	ACTN4	12753	-0.2995082437992096	-0.38255683	Yes	
row_16	C7	12776	-0.3029524087905884	-0.36521077	Yes	
row_17	GRIN2B	13276	-0.4081729054450989	-0.3732857	Yes	
row_18	C6	13378	-0.4307626187801361	-0.36014986	Yes	
row_19	GRIN2A	13867	-0.5808547139167786	-0.3676386	Yes	
row_20	CD40LG	13937	-0.6071166396141052	-0.35279733	Yes	
row_21	ACTN2	14437	-0.8405044674873352	-0.36087227	Yes	
row_22	HLA-DRB5	14575	-0.9174250364303589	-0.34965497	Yes	
row_23	HLA-DMA	15156	-1.3022199869155884	-0.36204672	Yes	
row_24	HLA-DRB1	15834	-2.018476724624634	-0.37960792	Yes	
row_25	ACTN3	16197	-2.555184841156006	-0.38038167	Yes	
row_26	C1QA	16492	-3.120112895965576	-0.37753144	Yes	
row_27	FCGR2B	16524	-3.188796281814575	-0.36066502	Yes	
row_28	HLA-DQB1	16575	-3.290933847427368	-0.34481117	Yes	
row_29	FCGR2C	16644	-3.434199094772339	-0.32991663	Yes	
row_30	HLA-DRA	16664	-3.4671905040740967	-0.31241068	Yes	
row_31	IFNG	16707	-3.586357831954956	-0.29613048	Yes	
row_32	C1QB	16724	-3.6414880752563477	-0.27846467	Yes	
row_33	ACTN1	16780	-3.8066980838775635	-0.2628773	Yes	
row_34	FCGR1A	16784	-3.8112170696258545	-0.24451865	Yes	
row_35	C1QC	16788	-3.816185474395752	-0.22616002	Yes	
row_36	HLA-DPA1	16916	-4.1009955406188965	-0.21440978	Yes	
row_37	CD28	16918	-4.112109184265137	-0.19594456	Yes	
row_38	C5	16954	-4.210960865020752	-0.17929131	Yes	
row_39	HLA-DQA2	17195	-5.0197882652282715	-0.17356324	Yes	
row_40	CD86	17218	-5.104591369628906	-0.15621719	Yes	
row_41	HLA-DPB1	17450	-6.056013584136963	-0.15000947	Yes	
row_42	HLA-DOA	17618	-6.8468146324157715	-0.14039098	Yes	
row_43	HLA-DMB	17740	-7.508009910583496	-0.12832098	Yes	
row_44	TNF	17824	-7.978461742401123	-0.11422582	Yes	
row_45	C1R	17902	-8.441612243652344	-0.099810906	Yes	
row_46	C4A	18043	-9.559438705444336	-0.08875348	Yes	
row_47	FCGR3A	18058	-9.637380599975586	-0.07098107	Yes	
row_48	C1S	18061	-9.642752647399902	-0.05256914	Yes	
row_49	FCGR2A	18117	-10.2207612991333	-0.036981765	Yes	
row_50	HLA-DOB	18144	-10.471230506896973	-0.01984888	Yes	
row_51	HLA-DQA1	18274	-11.845500946044922	-0.008205228	Yes	
row_52	CD80	18317	-12.409097671508789	0.0080749625	Yes	
row_53	IL10	18507	-15.66213321685791	0.016521001	Yes	
