NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	87	0.5961885	6.5454946	0.0	0.0	0.0	6352	tags=93%, list=34%, signal=140%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	159	0.22230689	3.2431414	0.0	0.0	0.0	10645	tags=79%, list=57%, signal=179%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	99	0.24629867	2.8885214	0.0	0.0	0.0	10595	tags=81%, list=56%, signal=184%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	100	0.24684685	2.8362246	0.0	0.0	0.0	11562	tags=86%, list=61%, signal=222%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	23	0.43057474	2.4865716	0.0	0.00314525	0.02	9088	tags=91%, list=48%, signal=176%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	126	0.18878469	2.4673295	0.0	0.0031357247	0.024	13048	tags=88%, list=69%, signal=285%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	92	0.20472467	2.309593	0.0	0.0072479397	0.064	11097	tags=79%, list=59%, signal=192%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	51	0.2516746	2.1122353	0.004	0.020929053	0.194	10773	tags=82%, list=57%, signal=192%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	68	0.2094651	2.0142288	0.0021231424	0.035514068	0.338	6034	tags=53%, list=32%, signal=78%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	145	0.14103895	2.0008357	0.006198347	0.034922704	0.362	12290	tags=79%, list=65%, signal=227%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	78	0.18783489	1.999157	0.0064655175	0.032027524	0.364	6853	tags=55%, list=36%, signal=86%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Details ...	129	0.15164581	1.9792793	0.0058479533	0.032864634	0.396	13503	tags=87%, list=72%, signal=305%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	70	0.19580756	1.9465625	0.009276438	0.03625101	0.448	5737	tags=50%, list=30%, signal=72%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	48	0.24134925	1.9181924	0.0118811885	0.040536165	0.514	6054	tags=56%, list=32%, signal=83%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	Details ...	27	0.2890785	1.7729837	0.02173913	0.08458816	0.807	11991	tags=93%, list=64%, signal=255%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	38	0.24281992	1.7536261	0.024539877	0.08874763	0.835	12276	tags=89%, list=65%, signal=257%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Details ...	27	0.27827546	1.7470652	0.025793651	0.08649872	0.849	12194	tags=93%, list=65%, signal=263%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	43	0.22021243	1.7092721	0.02631579	0.09923767	0.901	12932	tags=91%, list=69%, signal=289%	
KEGG_LINOLEIC_ACID_METABOLISM	KEGG_LINOLEIC_ACID_METABOLISM	Details ...	26	0.26870683	1.6553384	0.040899795	0.1226958	0.951	5806	tags=58%, list=31%, signal=83%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	60	0.1737801	1.6348606	0.03960396	0.1295452	0.962	11480	tags=78%, list=61%, signal=200%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		29	0.2523505	1.6311353	0.0403071	0.12555842	0.965	11480	tags=86%, list=61%, signal=221%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY		41	0.21384878	1.6276908	0.028806584	0.12165324	0.966	6540	tags=56%, list=35%, signal=86%	
KEGG_LYSOSOME	KEGG_LYSOSOME		120	0.12052985	1.5603436	0.062893085	0.15934698	0.993	13427	tags=83%, list=71%, signal=289%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY		58	0.17021361	1.5240427	0.05510204	0.18208729	0.995	14326	tags=93%, list=76%, signal=389%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		43	0.195796	1.5226386	0.054108217	0.17574659	0.995	6826	tags=56%, list=36%, signal=87%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		44	0.18872572	1.4946651	0.0746888	0.19141759	1.0	9714	tags=70%, list=52%, signal=145%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		32	0.22032697	1.4930688	0.06557377	0.18573828	1.0	5857	tags=53%, list=31%, signal=77%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		47	0.18171306	1.4918444	0.070564516	0.17993647	1.0	12203	tags=83%, list=65%, signal=235%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		25	0.2501655	1.4525306	0.079822615	0.20558415	1.0	5083	tags=52%, list=27%, signal=71%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		34	0.21044509	1.4346286	0.1010101	0.21542747	1.0	14864	tags=100%, list=79%, signal=475%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM		54	0.15926282	1.3917599	0.1037182	0.24959624	1.0	8162	tags=59%, list=43%, signal=104%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		31	0.2039622	1.362357	0.13601533	0.27203688	1.0	11950	tags=84%, list=64%, signal=229%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE		28	0.2090968	1.3563684	0.12452107	0.26973426	1.0	14216	tags=96%, list=76%, signal=394%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		42	0.1845213	1.3486683	0.13441955	0.2698863	1.0	11320	tags=79%, list=60%, signal=197%	
